video number, frame number, cell number of x, cell number of y,KM1,KM2,KM3,KM4,KM5,KM6,KM7
10R.mp4,9,1,2,-345.787745,895.013388,2.515958,-49.378979,17.162928,-8.702076,-19.236276
10R.mp4,9,1,3,-384.834230,757.087421,-6.993213,-86.938014,17.597123,-20.988081,-5.625471
10R.mp4,9,1,4,-363.841332,879.459267,5.806890,-67.471854,47.480000,3.055886,1.734522
10R.mp4,9,2,1,-271.285909,947.997348,2.717832,-120.088142,91.975902,5.102902,5.212043
10R.mp4,9,2,2,-337.979424,768.644343,-4.181229,-134.711313,82.461191,-7.230154,-5.770113
10R.mp4,9,2,3,-338.706342,718.163445,-9.772656,-154.169945,69.708389,-19.476354,-8.478842
10R.mp4,9,2,4,-253.746525,937.409122,1.944019,-144.369817,110.428072,5.627832,6.326460
10R.mp4,9,3,1,-412.065159,914.788723,8.662579,0.790004,-1.096951,3.590335,-0.369092
10R.mp4,9,3,2,-380.590717,720.443170,-106.045060,-31.093545,-53.379505,-6.487551,15.046211
10R.mp4,9,3,3,-413.789747,599.141905,-125.352822,-42.436034,-32.723681,-6.965559,13.830680
10R.mp4,9,3,4,-424.822688,899.817160,8.728512,4.895269,-6.126968,2.656796,-0.112517
10R.mp4,9,4,1,-426.055799,850.639308,9.267748,-25.521300,18.721102,5.193821,0.664640
10R.mp4,9,4,2,-548.279941,533.498412,-52.685850,-19.507103,-21.141898,-2.098846,3.484040
10R.mp4,9,4,3,-580.984414,394.841789,-70.090997,-44.623983,-53.024577,-35.578820,16.664130
10R.mp4,9,4,4,-500.819769,751.856531,12.549710,-11.808491,7.847011,6.867269,-0.698933
10R.mp4,10,1,1,-293.165579,781.527193,3.166410,-201.475508,151.282529,8.081895,8.134713
10R.mp4,10,1,2,-350.816818,878.378249,1.112415,-53.243642,18.024296,-9.109401,-15.572934
10R.mp4,10,1,3,-391.731018,750.587440,-8.654017,-80.293021,5.330259,-25.515894,-3.170934
10R.mp4,10,1,4,-363.691331,871.698258,6.785273,-73.927070,56.077254,5.640645,1.013859
10R.mp4,10,2,1,-266.531410,930.498081,2.505636,-135.875537,103.937523,5.652703,5.901582
10R.mp4,10,2,2,-327.753380,777.098511,-5.570125,-145.235087,90.720619,-9.712701,3.928065
10R.mp4,10,2,3,-314.059637,741.591359,-20.975458,-163.391761,73.179640,-18.668614,3.072892
10R.mp4,10,2,4,-258.830903,936.848708,2.167731,-139.614964,106.805932,5.576774,6.099543
10R.mp4,10,3,1,-402.417317,917.701661,7.991814,-6.713505,3.698757,3.044049,0.245846
10R.mp4,10,3,2,-388.850791,701.032853,-101.761409,-39.479321,-52.913287,-9.724513,16.953398
10R.mp4,10,3,3,-418.481112,592.412492,-128.141461,-38.618442,-40.440897,-8.954222,14.749270
10R.mp4,10,3,4,-433.785784,871.130224,9.118278,-4.151934,0.665306,3.338367,0.221058
10R.mp4,10,4,1,-425.364290,828.945488,9.480269,-40.221870,30.768272,6.398840,1.038740
10R.mp4,10,4,2,-555.610971,514.251850,-53.996002,-25.968599,-21.714673,1.129327,3.541423
10R.mp4,10,4,3,-576.739358,398.012654,-73.302000,-44.052524,-52.629756,-34.857043,17.334148
10R.mp4,10,4,4,-501.907121,732.479712,12.101211,-22.198427,13.838627,6.209469,0.229226
10R.mp4,11,1,1,-293.165579,781.527193,3.166410,-201.475508,151.282529,8.081895,8.134713
10R.mp4,11,1,2,-370.395004,846.434868,2.856148,-53.733300,18.211750,-9.024839,-16.128431
10R.mp4,11,1,3,-394.645225,741.770115,-10.813835,-84.048267,7.342971,-24.737036,1.602837
10R.mp4,11,1,4,-362.974739,872.915557,6.753932,-73.880942,56.046211,5.616133,1.015693
10R.mp4,11,2,1,-266.531410,930.498081,2.505636,-135.875537,103.937523,5.652703,5.901582
10R.mp4,11,2,2,-337.366742,766.543659,-6.594555,-148.260348,93.688147,-6.670589,9.864825
10R.mp4,11,2,3,-313.875730,751.681754,-20.492354,-158.600240,68.618335,-27.682968,12.636739
10R.mp4,11,2,4,-258.080192,934.085666,2.134226,-142.107710,108.694609,5.663585,6.208417
10R.mp4,11,3,1,-401.916844,915.859633,7.969478,-8.375336,4.957875,3.101923,0.318429
10R.mp4,11,3,2,-390.751836,696.457139,-100.410449,-41.301497,-53.242861,-11.648934,17.654107
10R.mp4,11,3,3,-421.345970,587.546094,-129.284205,-37.950077,-39.264465,-6.829275,14.072016
10R.mp4,11,3,4,-434.502375,869.912924,9.149619,-4.198062,0.696349,3.362880,0.219224
10R.mp4,11,4,1,-417.663783,835.296115,9.142364,-43.961296,33.636682,6.322911,1.236701
10R.mp4,11,4,2,-555.610971,514.251850,-53.996002,-25.968599,-21.714673,1.129327,3.541423
10R.mp4,11,4,3,-571.520957,401.478504,-74.523714,-46.365931,-54.316724,-37.063780,19.336387
10R.mp4,11,4,4,-504.773487,727.610513,12.226573,-22.382938,13.962798,6.307519,0.221891
10R.mp4,12,1,1,-282.611720,796.685716,2.963560,-201.547956,151.818767,8.013712,6.176631
10R.mp4,12,1,2,-364.678666,848.473720,0.912954,-63.839423,24.330502,-9.233183,-10.281578
10R.mp4,12,1,3,-382.980495,764.077508,-13.448033,-77.557782,2.826392,-23.692469,-3.876142
10R.mp4,12,1,4,-359.812613,899.824780,6.619218,-60.125014,45.662839,4.908016,0.453366
10R.mp4,12,2,1,-269.375061,894.707160,2.624854,-155.540130,118.789893,6.612404,6.714281
10R.mp4,12,2,2,-318.188781,825.992763,-9.667754,-126.321207,73.468580,-12.835089,11.403723
10R.mp4,12,2,3,-314.008789,770.493709,-28.188245,-145.509839,55.583371,-24.997838,19.608521
10R.mp4,12,2,4,-257.500077,951.224333,2.111542,-131.906084,100.984687,5.193778,5.782088
10R.mp4,12,3,1,-404.796888,915.020694,8.342681,-6.365340,4.351780,3.679178,-0.029633
10R.mp4,12,3,2,-393.393180,694.611655,-102.687066,-40.190217,-56.799527,-7.847791,17.337523
10R.mp4,12,3,3,-400.682600,611.843482,-132.969754,-43.728171,-35.710200,-1.845653,13.602879
10R.mp4,12,3,4,-438.510805,861.787948,9.817849,-5.994478,3.891072,4.719949,-0.222859
10R.mp4,12,4,1,-427.636862,837.184696,9.335105,-32.399263,23.912788,5.547880,0.945803
10R.mp4,12,4,2,-564.016089,514.972958,-49.495626,-20.698010,-21.393299,-0.948880,4.878130
