4 10
Video,Frame,Cell,Histogram
10,22,13,0#0#0#1#177#959#63#0#0#0#
10,22,14,0#14#53#41#377#683#29#2#1#0#
10,22,15,0#19#62#100#449#551#15#2#2#0#
10,22,16,0#0#0#3#274#877#45#0#1#0#
10,23,1,0#0#0#0#82#828#283#7#0#0#
10,23,2,0#0#0#26#100#954#117#3#0#0#
10,23,3,0#0#1#61#167#830#119#19#3#0#
10,23,4,0#0#0#0#129#957#112#2#0#0#
10,23,5,0#0#0#0#18#964#218#0#0#0#
10,23,6,1#12#10#25#99#866#187#0#0#0#
10,23,7,0#21#17#49#126#833#154#0#0#0#
10,23,8,0#0#0#0#9#972#219#0#0#0#
10,23,9,0#0#0#1#155#1008#36#0#0#0#
10,23,10,0#7#98#88#198#773#36#0#0#0#
10,23,11,0#20#125#96#212#703#44#0#0#0#
10,23,12,0#0#0#1#198#956#45#0#0#0#
10,23,13,0#0#0#1#200#917#82#0#0#0#
10,23,14,0#12#54#44#389#665#34#1#1#0#
10,23,15,0#21#60#105#477#514#20#1#2#0#
10,23,16,0#0#0#2#288#860#49#0#1#0#
10,24,1,0#0#0#1#75#820#294#10#0#0#
10,24,2,0#0#0#31#92#973#102#2#0#0#
10,24,3,0#0#8#62#192#814#112#11#1#0#
10,24,4,0#0#0#0#115#942#138#5#0#0#
10,24,5,0#0#0#0#21#981#198#0#0#0#
10,24,6,0#13#7#28#96#884#172#0#0#0#
10,24,7,0#20#15#47#107#843#168#0#0#0#
10,24,8,0#0#0#0#9#960#231#0#0#0#
10,24,9,0#0#0#2#137#1026#35#0#0#0#
10,24,10,0#10#87#92#168#818#25#0#0#0#
10,24,11,0#27#121#91#214#699#48#0#0#0#
10,24,12,0#0#0#1#208#950#41#0#0#0#
10,24,13,0#0#0#1#189#937#73#0#0#0#
10,24,14,0#9#52#42#401#665#28#2#1#0#
10,24,15,0#17#62#111#472#521#15#2#0#0#
10,24,16,0#0#0#1#280#879#39#0#1#0#
10,25,1,0#0#0#1#75#820#294#10#0#0#
10,25,2,0#0#1#31#151#914#101#1#1#0#
10,25,3,0#0#7#59#198#808#106#20#2#0#
10,25,4,0#0#0#0#115#942#138#5#0#0#
10,25,5,0#0#0#0#21#981#198#0#0#0#
10,25,6,0#13#7#27#88#890#175#0#0#0#
10,25,7,0#20#18#40#100#842#179#1#0#0#
10,25,8,0#0#0#0#9#960#231#0#0#0#
10,25,9,0#0#0#2#137#1026#35#0#0#0#
